Question,Label
What is Amazon Web Services (AWS)?,AWS Documentation
What services does AWS provide?,AWS Documentation
What are the benefits of using AWS?,AWS Documentation
How does AWS work?,AWS Documentation
What is AWS EC2?,AWS Documentation
What is AWS S3?,AWS Documentation
What is AWS Lambda?,AWS Documentation
What is AWS DynamoDB?,AWS Documentation
What is AWS RDS?,AWS Documentation
What is AWS EBS?,AWS Documentation
What is AWS ECS?,AWS Documentation
What is AWS EKS?,AWS Documentation
What is AWS Fargate?,AWS Documentation
What is AWS Elastic Beanstalk?,AWS Documentation
What is AWS CloudFormation?,AWS Documentation
What is AWS CloudTrail?,AWS Documentation
What is AWS CloudWatch?,AWS Documentation
What is AWS Config?,AWS Documentation
What is AWS OpsWorks?,AWS Documentation
What is AWS CodeDeploy?,AWS Documentation
What is AWS CodePipeline?,AWS Documentation
What is AWS CodeBuild?,AWS Documentation
What is AWS CodeCommit?,AWS Documentation
What is AWS CodeStar?,AWS Documentation
What is AWS X-Ray?,AWS Documentation
What is AWS Athena?,AWS Documentation
What is AWS QuickSight?,AWS Documentation
What is AWS Glue?,AWS Documentation
What is AWS EMR?,AWS Documentation
What is AWS Redshift?,AWS Documentation
What is AWS Aurora?,AWS Documentation
What is AWS Quicksight?,AWS Documentation
What is AWS Snowball?,AWS Documentation
What is AWS Snowmobile?,AWS Documentation
What is AWS Snowcone?,AWS Documentation
What is AWS Storage Gateway?,AWS Documentation
What is AWS Direct Connect?,AWS Documentation
What is AWS Transit Gateway?,AWS Documentation
What is AWS VPC?,AWS Documentation
What is AWS PrivateLink?,AWS Documentation
What is AWS Global Accelerator?,AWS Documentation
What is AWS Route 53?,AWS Documentation
What is AWS CloudFront?,AWS Documentation
What is AWS WAF?,AWS Documentation
What is AWS Shield?,AWS Documentation
What is AWS Certificate Manager?,AWS Documentation
What is AWS CloudHSM?,AWS Documentation
What is AWS Directory Service?,AWS Documentation
What is AWS Secrets Manager?,AWS Documentation
What is AWS Key Management Service?,AWS Documentation
What is AWS Organizations?,AWS Documentation
What is AWS Control Tower?,AWS Documentation
What is AWS Resource Access Manager?,AWS Documentation
What is AWS Service Catalog?,AWS Documentation
What is AWS License Manager?,AWS Documentation
What is AWS Well-Architected Tool?,AWS Documentation
What is AWS Trusted Advisor?,AWS Documentation
What is AWS Chatbot?,AWS Documentation
What is AWS IQ?,AWS Documentation
What is AWS Security Hub?,AWS Documentation
What is AWS Artifact?,AWS Documentation
What is AWS AppConfig?,AWS Documentation
What is AWS CloudShell?,AWS Documentation
What is AWS Cloud9?,AWS Documentation
What is AWS CodeGuru?,AWS Documentation
What is AWS CodeStar connections?,AWS Documentation
What is AWS Fault Injection Simulator?,AWS Documentation
What are the different AWS instance types?,AWS Documentation
How to choose the right AWS instance type?,AWS Documentation
What are the AWS regions and availability zones?,AWS Documentation
How to create an AWS account?,AWS Documentation
How to manage AWS costs and billing?,AWS Documentation
What is AWS Identity and Access Management (IAM)?,AWS Documentation
How does AWS security work?,AWS Documentation
What compliance standards does AWS meet?,AWS Documentation
What is serverless computing on AWS?,AWS Documentation
What is containers on AWS?,AWS Documentation
What is AWS Outposts?,AWS Documentation
What is AWS Wavelength?,AWS Documentation
What is Amazon SageMaker?,AWS Documentation
What is Amazon Rekognition?,AWS Documentation
What is Amazon Lex?,AWS Documentation
What is Amazon Polly?,AWS Documentation
What is Amazon Comprehend?,AWS Documentation
What is Amazon Transcribe?,AWS Documentation
What is Amazon Translate?,AWS Documentation
What is Amazon Sumerian?,AWS Documentation
What are the main use cases for AWS?,AWS Documentation
How does AWS integrate with on-premises infrastructure?,AWS Documentation
What are some key AWS services for developers?,AWS Documentation
